Model,Experiment,Brier (Raw),Brier (Platt),Brier (Isotonic),ΔBrier Platt,ΔBrier Isotonic,Best Calibration
LR — Baseline,Exp-0 Baseline,0.0410,0.0422,0.0419,0.0012,0.0009,Isotonic
SVM — ClassWeight,Exp-1 ClassWeight,0.0434,0.0447,0.0442,0.0013,0.0008,Isotonic
RF — Baseline,Exp-0 Baseline,0.0450,0.0456,0.0455,0.0006,0.0005,Isotonic
RF — ClassWeight,Exp-1 ClassWeight,0.0452,0.0461,0.0456,0.0008,0.0003,Isotonic
SVM — Baseline,Exp-0 Baseline,0.0458,0.0471,0.0469,0.0013,0.0012,Isotonic
XGB — Baseline,Exp-0 Baseline,0.0521,0.0449,0.0443,-0.0072,-0.0079,Isotonic
KNN-5 — Baseline,Exp-0 Baseline,0.0528,0.0481,0.0464,-0.0047,-0.0064,Isotonic
RF — SMOTE,Exp-2 SMOTE,0.0565,0.0457,0.0445,-0.0108,-0.0120,Isotonic
XGB — ClassWeight,Exp-1 ClassWeight,0.0573,0.0448,0.0451,-0.0125,-0.0122,Platt
XGB — ADASYN,Exp-3 ADASYN,0.0575,0.0459,0.0439,-0.0117,-0.0136,Isotonic
XGB — SMOTE,Exp-2 SMOTE,0.0591,0.0454,0.0439,-0.0138,-0.0152,Isotonic
XGB — Tuned,Hyper Tuned,0.0909,0.0407,0.0420,-0.0501,-0.0489,Platt
SVM — SMOTE,Exp-2 SMOTE,0.1007,0.0441,0.0447,-0.0566,-0.0560,Platt
SVM — ADASYN,Exp-3 ADASYN,0.1027,0.0441,0.0444,-0.0586,-0.0583,Platt
SVM — Tuned,Hyper Tuned,0.1562,0.0411,0.0429,-0.1151,-0.1133,Platt
LR — ClassWeight,Exp-1 ClassWeight,0.1599,0.0412,0.0421,-0.1188,-0.1178,Platt
LR — SMOTE,Exp-2 SMOTE,0.1604,0.0411,0.0423,-0.1192,-0.1181,Platt
LR — ADASYN,Exp-3 ADASYN,0.1621,0.0411,0.0421,-0.1210,-0.1200,Platt
RF — Tuned,Hyper Tuned,0.1681,0.0424,0.0431,-0.1257,-0.1250,Platt
LR — Tuned,Hyper Tuned,0.1689,0.0410,0.0411,-0.1279,-0.1278,Platt
GNB — SMOTE,Exp-2 SMOTE,0.6599,0.0456,0.0443,-0.6143,-0.6157,Isotonic
GNB — Baseline,Exp-0 Baseline,0.6745,0.0456,0.0446,-0.6289,-0.6299,Isotonic
