Model,Accuracy (mean),Accuracy (std),F1 (mean),F1 (std),Recall (mean),Recall (std),Precision (mean),Precision (std),AUC-ROC (mean),AUC-ROC (std),AUC-PR (mean),AUC-PR (std)
Logistic Regression,0.7559,0.0129,0.2374,0.0146,0.7791,0.0390,0.1401,0.0092,0.8490,0.0100,0.2272,0.0391
Gaussian NB,0.3156,0.0259,0.1236,0.0047,0.9900,0.0122,0.0659,0.0026,0.8144,0.0146,0.1797,0.0178
KNN k=1,0.8987,0.0078,0.1445,0.0176,0.1762,0.0295,0.1237,0.0156,0.5559,0.0131,0.0621,0.0040
KNN k=3,0.8716,0.0050,0.1953,0.0200,0.3217,0.0461,0.1405,0.0125,0.6378,0.0206,0.0837,0.0063
KNN k=5,0.8371,0.0074,0.1887,0.0208,0.3917,0.0648,0.1245,0.0121,0.6824,0.0409,0.0948,0.0114
KNN k=7,0.8151,0.0096,0.1912,0.0195,0.4522,0.0736,0.1215,0.0109,0.6933,0.0481,0.1004,0.0127
KNN k=9,0.7972,0.0138,0.1891,0.0242,0.4872,0.0785,0.1175,0.0148,0.7080,0.0337,0.1039,0.0106
SVM (RBF),0.8224,0.0136,0.1822,0.0319,0.4126,0.1055,0.1174,0.0187,0.7852,0.0228,0.1562,0.0461
Random Forest,0.9354,0.0039,0.1592,0.0405,0.1254,0.0310,0.2190,0.0597,0.8082,0.0073,0.1555,0.0115
XGBoost,0.9061,0.0086,0.1981,0.0403,0.2360,0.0398,0.1714,0.0401,0.7642,0.0279,0.1358,0.0156
