Model,Accuracy (mean),Accuracy (std),F1 (mean),F1 (std),Recall (mean),Recall (std),Precision (mean),Precision (std),AUC-ROC (mean),AUC-ROC (std),AUC-PR (mean),AUC-PR (std)
Logistic Regression,0.9501,0.0012,0.0191,0.0234,0.0100,0.0122,0.2667,0.3887,0.8518,0.0085,0.2277,0.0366
Gaussian NB,0.2948,0.0621,0.1210,0.0095,0.9900,0.0122,0.0644,0.0054,0.8204,0.0128,0.1869,0.0254
KNN (k=1),0.9195,0.0061,0.1226,0.0352,0.1156,0.0341,0.1322,0.0390,0.5382,0.0173,0.0595,0.0083
KNN (k=3),0.9450,0.0026,0.0580,0.0430,0.0353,0.0257,0.1693,0.1424,0.5802,0.0239,0.0765,0.0168
KNN (k=5),0.9499,0.0015,0.0095,0.0190,0.0050,0.0100,0.1000,0.2000,0.6126,0.0294,0.0758,0.0085
KNN (k=7),0.9506,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6659,0.0445,0.0893,0.0170
KNN (k=9),0.9513,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6814,0.0543,0.1004,0.0238
SVM (RBF),0.9513,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6949,0.0275,0.1673,0.0344
Random Forest,0.9513,0.0014,0.0567,0.0182,0.0301,0.0099,0.5667,0.2494,0.8039,0.0268,0.1909,0.0481
XGBoost,0.9379,0.0057,0.1105,0.0831,0.0801,0.0619,0.1813,0.1264,0.7960,0.0260,0.1631,0.0527
