Model,Accuracy (mean),Accuracy (std),F1 (mean),F1 (std),Recall (mean),Recall (std),Precision (mean),Precision (std),AUC-ROC (mean),AUC-ROC (std),AUC-PR (mean),AUC-PR (std)
Logistic Regression,0.7549,0.0104,0.2399,0.0107,0.7941,0.0394,0.1413,0.0066,0.8528,0.0091,0.2223,0.0395
Gaussian NB,0.2360,0.0451,0.1129,0.0071,0.9950,0.0100,0.0599,0.0040,0.8202,0.0127,0.1848,0.0237
KNN (k=1),0.9195,0.0061,0.1226,0.0352,0.1156,0.0341,0.1322,0.0390,0.5382,0.0173,0.0595,0.0083
KNN (k=3),0.9450,0.0026,0.0580,0.0430,0.0353,0.0257,0.1693,0.1424,0.5802,0.0239,0.0765,0.0168
KNN (k=5),0.9499,0.0015,0.0095,0.0190,0.0050,0.0100,0.1000,0.2000,0.6126,0.0294,0.0758,0.0085
KNN (k=7),0.9506,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6659,0.0445,0.0893,0.0170
KNN (k=9),0.9513,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6814,0.0543,0.1004,0.0238
SVM (RBF),0.7732,0.0124,0.2110,0.0197,0.6232,0.0665,0.1271,0.0120,0.8058,0.0208,0.2027,0.0699
Random Forest,0.9508,0.0016,0.0555,0.0338,0.0301,0.0187,0.4500,0.3317,0.8124,0.0221,0.1831,0.0411
XGBoost,0.9266,0.0092,0.1603,0.0624,0.1405,0.0459,0.1892,0.0901,0.7915,0.0343,0.1733,0.0599
