Model,Accuracy (mean),Accuracy (std),F1 (mean),F1 (std),Recall (mean),Recall (std),Precision (mean),Precision (std),AUC-ROC (mean),AUC-ROC (std),AUC-PR (mean),AUC-PR (std)
Logistic Regression,0.7542,0.0113,0.2372,0.0145,0.7842,0.0453,0.1397,0.0089,0.8496,0.0098,0.2279,0.0379
Gaussian NB,0.3258,0.0256,0.1252,0.0050,0.9900,0.0122,0.0669,0.0028,0.8089,0.0181,0.1774,0.0180
KNN (k=1),0.8965,0.0077,0.1385,0.0244,0.1712,0.0351,0.1172,0.0208,0.5524,0.0172,0.0610,0.0052
KNN (k=3),0.8691,0.0058,0.1990,0.0288,0.3368,0.0649,0.1416,0.0181,0.6407,0.0279,0.0876,0.0084
KNN (k=5),0.8398,0.0062,0.1833,0.0215,0.3715,0.0604,0.1218,0.0127,0.6749,0.0423,0.0964,0.0121
KNN (k=7),0.8156,0.0116,0.1851,0.0180,0.4319,0.0625,0.1180,0.0107,0.6933,0.0459,0.0999,0.0133
KNN (k=9),0.7955,0.0143,0.1830,0.0138,0.4723,0.0615,0.1137,0.0077,0.7065,0.0335,0.1046,0.0140
SVM (RBF),0.8263,0.0148,0.1897,0.0438,0.4228,0.1188,0.1228,0.0275,0.7864,0.0241,0.1578,0.0459
Random Forest,0.9342,0.0012,0.1619,0.0103,0.1306,0.0098,0.2133,0.0133,0.8158,0.0115,0.1595,0.0127
XGBoost,0.9293,0.0040,0.1613,0.0561,0.1406,0.0513,0.1897,0.0624,0.7855,0.0224,0.1456,0.0238
