imputation,resampling,model,cv_auc_pr,test_auc_pr,test_auc_roc,test_f1,test_recall,test_precision,best_params
median_noflag,none,Logistic Regression,0.1933,0.2683,0.8438,0.2360,0.8000,0.1384,"{'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 10}"
median_noflag,none,SVM (RBF),0.2068,0.2805,0.8422,0.2291,0.8200,0.1331,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
median_noflag,none,Random Forest,0.1991,0.2369,0.8396,0.0000,0.0000,0.0000,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
median_noflag,none,XGBoost,0.2091,0.2259,0.8260,0.2909,0.4800,0.2087,"{'model__subsample': 0.7, 'model__scale_pos_weight': 20, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}"
median_noflag,smote,Logistic Regression,0.1928,0.2785,0.8433,0.2367,0.8000,0.1389,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
median_noflag,smote,SVM (RBF),0.1946,0.2745,0.8425,0.2284,0.8200,0.1327,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 10}"
median_noflag,smote,Random Forest,0.1539,0.2076,0.8191,0.2156,0.8000,0.1246,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
median_noflag,smote,XGBoost,0.1581,0.2239,0.8438,0.2291,0.8200,0.1331,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_noflag,adasyn,Logistic Regression,0.1910,0.2832,0.8440,0.2353,0.8000,0.1379,"{'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 100}"
median_noflag,adasyn,SVM (RBF),0.1899,0.2746,0.8425,0.2198,0.8000,0.1274,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 10}"
median_noflag,adasyn,Random Forest,0.1490,0.1890,0.8131,0.1970,0.7800,0.1127,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
median_noflag,adasyn,XGBoost,0.1577,0.2278,0.8400,0.2235,0.8000,0.1299,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_noflag,undersample,Logistic Regression,0.1966,0.3000,0.8426,0.2323,0.8200,0.1353,"{'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 1}"
median_noflag,undersample,SVM (RBF),0.1939,0.2724,0.8396,0.2127,0.8400,0.1217,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 10}"
