feature,SHAP,Permutation,LIME
age,1.0,1.0,1.0
avg_glucose_level,0.15468423,0.20669531585337164,0.11910900060988552
bmi,0.113186374,0.09615646775795932,0.5559322873157294
bmi_missing,0.09263545,0.0,0.5521180997580145
hypertension,0.090758935,0.019542612404380665,0.3319234955010796
ever_married_No,0.05531346,0.03553643492520381,0.12295418844208343
heart_disease,0.037071344,0.17944669278576067,0.2041418330761596
ever_married_Yes,0.033990916,0.03553643492520381,0.08866618342584752
work_type_children,0.027167663,0.03553643492520381,0.19320942814333766
smoking_status_smokes,0.023994328,0.03553643492520381,0.11303022459651886
smoking_status_never smoked,0.023683762,0.03553643492520381,0.07470461121984283
smoking_status_formerly smoked,0.019110758,0.03553643492520381,0.09230100868903085
