,,0,1
age,count,4860.0,249.0
age,mean,41.97483127572016,67.72819277108434
age,std,22.29305647371027,12.727419360404241
age,min,0.08,1.32
age,25%,24.0,59.0
age,50%,43.0,71.0
age,75%,59.0,78.0
age,max,82.0,82.0
avg_glucose_level,count,4860.0,249.0
avg_glucose_level,mean,104.78758436213991,132.54473895582328
avg_glucose_level,std,43.84709470166273,61.92105558068223
avg_glucose_level,min,55.12,56.11
avg_glucose_level,25%,77.12,79.79
avg_glucose_level,50%,91.465,105.22
avg_glucose_level,75%,112.80000000000001,196.71
avg_glucose_level,max,267.76,271.74
bmi,count,4699.0,209.0
bmi,mean,28.82443072994254,30.471291866028707
bmi,std,7.9085734036289885,6.329451820046447
bmi,min,10.3,16.9
bmi,25%,23.4,26.4
bmi,50%,28.0,29.7
bmi,75%,33.1,33.7
bmi,max,97.6,56.6
