threshold,F1,Recall,Precision,MCC
0.0100,0.0933,1.0000,0.0489,0.0000
0.0150,0.0933,1.0000,0.0489,0.0000
0.0200,0.0933,1.0000,0.0489,0.0000
0.0250,0.0933,1.0000,0.0489,0.0000
0.0300,0.0933,1.0000,0.0489,0.0000
0.0350,0.0933,1.0000,0.0489,0.0000
0.0400,0.0933,1.0000,0.0489,0.0000
0.0450,0.0933,1.0000,0.0489,0.0000
0.0500,0.0933,1.0000,0.0489,0.0000
0.0550,0.0933,1.0000,0.0489,0.0000
0.0600,0.0933,1.0000,0.0489,0.0000
0.0650,0.0933,1.0000,0.0489,0.0000
0.0700,0.0933,1.0000,0.0489,0.0000
0.0750,0.0933,1.0000,0.0489,0.0000
0.0800,0.0933,1.0000,0.0489,0.0000
0.0850,0.0933,1.0000,0.0489,0.0000
0.0900,0.0933,1.0000,0.0489,0.0000
0.0950,0.0933,1.0000,0.0489,0.0000
0.1000,0.0933,1.0000,0.0489,0.0000
0.1050,0.0933,1.0000,0.0489,0.0000
0.1100,0.0933,1.0000,0.0489,0.0000
0.1150,0.0933,1.0000,0.0489,0.0000
0.1200,0.0933,1.0000,0.0489,0.0000
0.1250,0.0933,1.0000,0.0489,0.0000
0.1300,0.1011,1.0000,0.0532,0.0674
0.1350,0.1006,0.9800,0.0530,0.0585
0.1400,0.1047,0.9800,0.0553,0.0755
0.1450,0.1130,0.9800,0.0600,0.1023
0.1500,0.1198,0.9800,0.0638,0.1199
0.1550,0.1289,0.9800,0.0690,0.1405
0.1600,0.1323,0.9800,0.0709,0.1473
0.1650,0.1467,0.9800,0.0793,0.1741
0.1700,0.1495,0.9600,0.0811,0.1749
0.1750,0.1549,0.9400,0.0844,0.1799
0.1800,0.1562,0.9000,0.0856,0.1749
0.1850,0.1599,0.9000,0.0877,0.1806
0.1900,0.1597,0.8800,0.0878,0.1768
0.1950,0.1575,0.8600,0.0867,0.1700
0.2000,0.1590,0.8600,0.0876,0.1723
0.2050,0.1604,0.8600,0.0885,0.1746
0.2100,0.1594,0.8400,0.0881,0.1697
0.2150,0.1609,0.8400,0.0890,0.1720
0.2200,0.1618,0.8400,0.0896,0.1735
0.2250,0.1625,0.8400,0.0899,0.1744
0.2300,0.1631,0.8400,0.0903,0.1754
0.2350,0.1634,0.8400,0.0905,0.1758
0.2400,0.1641,0.8400,0.0909,0.1768
0.2450,0.1647,0.8400,0.0913,0.1778
0.2500,0.1657,0.8400,0.0919,0.1792
0.2550,0.1660,0.8400,0.0921,0.1797
0.2600,0.1677,0.8400,0.0931,0.1821
0.2650,0.1683,0.8400,0.0935,0.1831
0.2700,0.1697,0.8400,0.0944,0.1851
0.2750,0.1712,0.8200,0.0956,0.1839
0.2800,0.1786,0.8200,0.1002,0.1943
0.2850,0.1818,0.8200,0.1022,0.1986
0.2900,0.1859,0.8200,0.1049,0.2041
0.2950,0.1911,0.8200,0.1082,0.2109
0.3000,0.1900,0.8000,0.1078,0.2061
0.3050,0.1961,0.8000,0.1117,0.2138
0.3100,0.2005,0.8000,0.1146,0.2193
0.3150,0.2073,0.8000,0.1190,0.2275
0.3200,0.2151,0.8000,0.1242,0.2368
0.3250,0.2286,0.8000,0.1333,0.2522
0.3300,0.2395,0.8000,0.1408,0.2644
0.3350,0.2439,0.8000,0.1439,0.2691
0.3400,0.2462,0.8000,0.1455,0.2715
0.3450,0.2508,0.8000,0.1487,0.2765
0.3500,0.2564,0.8000,0.1527,0.2824
0.3550,0.2614,0.8000,0.1562,0.2876
0.3600,0.2685,0.8000,0.1613,0.2949
0.3650,0.2797,0.8000,0.1695,0.3063
0.3700,0.2786,0.7800,0.1696,0.3014
0.3750,0.2804,0.7600,0.1719,0.2996
0.3800,0.2890,0.7600,0.1784,0.3080
0.3850,0.2891,0.7400,0.1796,0.3044
0.3900,0.2892,0.7200,0.1809,0.3009
0.3950,0.2929,0.7000,0.1852,0.3009
0.4000,0.2944,0.6800,0.1878,0.2988
0.4050,0.2920,0.6600,0.1875,0.2930
0.4100,0.3000,0.6600,0.1941,0.3007
0.4150,0.2981,0.6200,0.1962,0.2920
0.4200,0.3085,0.6200,0.2053,0.3018
0.4250,0.3147,0.6200,0.2109,0.3077
0.4300,0.3279,0.6000,0.2256,0.3167
0.4350,0.3182,0.5600,0.2222,0.3013
0.4400,0.3237,0.5600,0.2276,0.3065
0.4450,0.3230,0.5200,0.2342,0.2999
0.4500,0.3185,0.5000,0.2336,0.2928
0.4550,0.3356,0.5000,0.2525,0.3091
0.4600,0.3358,0.4600,0.2644,0.3047
0.4650,0.3485,0.4600,0.2805,0.3171
0.4700,0.3492,0.4400,0.2895,0.3161
0.4750,0.3306,0.4000,0.2817,0.2948
0.4800,0.3248,0.3800,0.2836,0.2881
0.4850,0.3333,0.3800,0.2969,0.2971
0.4900,0.3091,0.3400,0.2833,0.2714
0.4950,0.3019,0.3200,0.2857,0.2643
0.5000,0.3077,0.3200,0.2963,0.2709
0.5050,0.2800,0.2800,0.2800,0.2430
0.5100,0.2680,0.2600,0.2766,0.2317
0.5150,0.2553,0.2400,0.2727,0.2201
0.5200,0.2697,0.2400,0.3077,0.2389
0.5250,0.2697,0.2400,0.3077,0.2389
0.5300,0.2588,0.2200,0.3143,0.2317
0.5350,0.2588,0.2200,0.3143,0.2317
0.5400,0.2651,0.2200,0.3333,0.2408
0.5450,0.2750,0.2200,0.3667,0.2562
0.5500,0.2432,0.1800,0.3750,0.2344
0.5550,0.2192,0.1600,0.3478,0.2103
0.5600,0.1944,0.1400,0.3182,0.1851
0.5650,0.1493,0.1000,0.2941,0.1478
0.5700,0.1538,0.1000,0.3333,0.1609
0.5750,0.1311,0.0800,0.3636,0.1522
0.5800,0.1017,0.0600,0.3333,0.1243
