threshold,F1,F2,Recall,Precision,Accuracy
0.0100,0.0933,0.2046,1.0000,0.0489,0.0489
0.0150,0.0949,0.2076,1.0000,0.0498,0.0665
0.0200,0.0984,0.2144,1.0000,0.0518,0.1037
0.0250,0.1011,0.2195,1.0000,0.0532,0.1301
0.0300,0.1040,0.2248,1.0000,0.0548,0.1566
0.0350,0.1067,0.2300,1.0000,0.0564,0.1810
0.0400,0.1075,0.2307,0.9800,0.0568,0.2035
0.0450,0.1099,0.2351,0.9800,0.0582,0.2231
0.0500,0.1121,0.2393,0.9800,0.0595,0.2407
0.0550,0.1146,0.2438,0.9800,0.0609,0.2593
0.0600,0.1171,0.2482,0.9800,0.0623,0.2769
0.0650,0.1198,0.2531,0.9800,0.0638,0.2955
0.0700,0.1227,0.2582,0.9800,0.0654,0.3141
0.0750,0.1242,0.2609,0.9800,0.0663,0.3239
0.0800,0.1260,0.2640,0.9800,0.0673,0.3346
0.0850,0.1283,0.2681,0.9800,0.0686,0.3483
0.0900,0.1298,0.2707,0.9800,0.0695,0.3571
0.0950,0.1314,0.2734,0.9800,0.0704,0.3659
0.1000,0.1332,0.2765,0.9800,0.0714,0.3757
0.1050,0.1355,0.2806,0.9800,0.0728,0.3885
0.1100,0.1373,0.2836,0.9800,0.0738,0.3973
0.1150,0.1388,0.2862,0.9800,0.0747,0.4051
0.1200,0.1400,0.2882,0.9800,0.0754,0.4110
0.1250,0.1418,0.2913,0.9800,0.0764,0.4198
0.1300,0.1429,0.2931,0.9800,0.0770,0.4247
0.1350,0.1418,0.2902,0.9600,0.0766,0.4315
0.1400,0.1431,0.2923,0.9600,0.0773,0.4374
0.1450,0.1457,0.2967,0.9600,0.0788,0.4491
0.1500,0.1453,0.2949,0.9400,0.0787,0.4589
0.1550,0.1449,0.2930,0.9200,0.0786,0.4687
0.1600,0.1463,0.2953,0.9200,0.0794,0.4746
0.1650,0.1449,0.2918,0.9000,0.0788,0.4804
0.1700,0.1459,0.2934,0.9000,0.0794,0.4843
0.1750,0.1473,0.2957,0.9000,0.0802,0.4902
0.1800,0.1480,0.2968,0.9000,0.0806,0.4932
0.1850,0.1488,0.2980,0.9000,0.0811,0.4961
0.1900,0.1510,0.3016,0.9000,0.0824,0.5049
0.1950,0.1523,0.3036,0.9000,0.0832,0.5098
0.2000,0.1536,0.3057,0.9000,0.0840,0.5147
0.2050,0.1546,0.3074,0.9000,0.0846,0.5186
0.2100,0.1565,0.3103,0.9000,0.0857,0.5254
0.2150,0.1582,0.3129,0.9000,0.0867,0.5313
0.2200,0.1587,0.3138,0.9000,0.0870,0.5333
0.2250,0.1563,0.3086,0.8800,0.0858,0.5352
0.2300,0.1552,0.3054,0.8600,0.0853,0.5421
0.2350,0.1564,0.3071,0.8600,0.0860,0.5460
0.2400,0.1569,0.3080,0.8600,0.0863,0.5479
0.2450,0.1558,0.3048,0.8400,0.0859,0.5548
0.2500,0.1576,0.3075,0.8400,0.0870,0.5607
0.2550,0.1591,0.3097,0.8400,0.0879,0.5656
0.2600,0.1600,0.3111,0.8400,0.0884,0.5685
0.2650,0.1606,0.3120,0.8400,0.0888,0.5705
0.2700,0.1612,0.3130,0.8400,0.0892,0.5724
0.2750,0.1615,0.3134,0.8400,0.0894,0.5734
0.2800,0.1628,0.3153,0.8400,0.0901,0.5773
0.2850,0.1637,0.3167,0.8400,0.0907,0.5802
0.2900,0.1654,0.3191,0.8400,0.0917,0.5851
0.2950,0.1667,0.3211,0.8400,0.0925,0.5890
0.3000,0.1683,0.3236,0.8400,0.0935,0.5939
0.3050,0.1690,0.3246,0.8400,0.0940,0.5959
0.3100,0.1694,0.3251,0.8400,0.0942,0.5969
0.3150,0.1700,0.3261,0.8400,0.0946,0.5988
0.3200,0.1714,0.3281,0.8400,0.0955,0.6027
0.3250,0.1736,0.3312,0.8400,0.0968,0.6086
0.3300,0.1765,0.3355,0.8400,0.0986,0.6164
0.3350,0.1772,0.3365,0.8400,0.0991,0.6184
0.3400,0.1783,0.3382,0.8400,0.0998,0.6213
0.3450,0.1806,0.3415,0.8400,0.1012,0.6272
0.3500,0.1850,0.3477,0.8400,0.1040,0.6380
0.3550,0.1867,0.3500,0.8400,0.1050,0.6419
0.3600,0.1883,0.3523,0.8400,0.1061,0.6458
0.3650,0.1896,0.3541,0.8400,0.1069,0.6487
0.3700,0.1935,0.3596,0.8400,0.1094,0.6575
0.3750,0.1940,0.3602,0.8400,0.1097,0.6585
0.3800,0.1953,0.3621,0.8400,0.1105,0.6614
0.3850,0.1967,0.3640,0.8400,0.1114,0.6644
0.3900,0.1972,0.3646,0.8400,0.1117,0.6654
0.3950,0.1981,0.3659,0.8400,0.1123,0.6673
0.4000,0.1991,0.3671,0.8400,0.1129,0.6693
0.4050,0.2010,0.3697,0.8400,0.1141,0.6732
0.4100,0.2029,0.3723,0.8400,0.1154,0.6771
